תאריך עסקה,שם בית העסק,קטגוריה,4 ספרות אחרונות של כרטיס האשראי,סוג עסקה,סכום חיוב,מטבע חיוב,סכום עסקה מקורי,מטבע עסקה מקורי,תאריך חיוב,הערות,תיוגים,מועדון הנחות,מפתח דיסקונט,אופן ביצוע ההעסקה,"שער המרה ממטבע מקור/התחשבנות לש""ח"
26/03/2026,ביטוח ישיר - רכב,ביטוח,1234,תשלומים,185,₪,1850,₪,02/07/2026,תשלום 4 מתוך 10,,,,טלפוני,
13/06/2026,הולמס פלייס קלאב,"פנאי, בידור וספורט",1234,רגילה,220,₪,220,₪,02/07/2026,,,,,טלפוני,
17/06/2026,"טיב טעם בע""מ",מזון וצריכה,1234,רגילה,142.5,₪,142.5,₪,02/07/2026,,,,,תשלום בנייד,
22/06/2026,שופרסל אונליין,מזון וצריכה,1234,רגילה,415.8,₪,415.8,₪,02/07/2026,,,,,טלפוני,
25/06/2026,דלק מנטה,תחבורה ורכבים,1234,רגילה,230,₪,230,₪,02/07/2026,הוראת קבע,,,,טלפוני,
27/06/2026,סלופארק חניה,תחבורה ורכבים,1234,רגילה,18.5,₪,18.5,₪,02/07/2026,הוראת קבע,,,,טלפוני,
29/06/2026,קולנוע לב סינמה,"פנאי, בידור וספורט",1234,רגילה,88,₪,88,₪,02/07/2026,,,,,אינטרנט,
29/06/2026,סטימצקי ספרים,"פנאי, בידור וספורט",1234,רגילה,119,₪,119,₪,02/07/2026,,,,,אינטרנט,
,,,,,,,,,,,,,,,
סך הכל,,,,,,,,,,,,,,,
1418.8₪,,,,,,,,,,,,,,,
